Search_term,gse,title,summary,overall_design,gpl,sample_number,type,pubmed_id
Alzheimers Disease,GSE77471,Gamma oscillations attenuate amyloid pathology and trigger a protective microglia response in a mouse model of Alzheimer's disease,"Gamma oscillations (20-50Hz) are a common local field potential signature in many brain regions that are generated by a resonant circuit between fast-spiking parvalbumin (PV)-positive interneurons and pyramidal cells. Changes in the magnitude and frequency of gamma have been observed in several neuropsychiatric disorders.  However, it is unclear how disruptions in gamma oscillations affect cellular pathologies seen in these disorders. Here, we investigate this using the 5XFAD mouse model of Alzheimer’s disease (AD) and find reduced power and magnitude of behaviorally driven gamma oscillatory activity — even before the onset of plaque formation or measurable cognitive decline. Because of the early onset, we aimed to determine if exogenous manipulations of gamma could influence the progression of disease pathology. We find that driving PV-positive neurons at gamma frequency (40Hz) using channelrhodopsin-2 reduced total levels of amyloid-ß (Aß) 40 and 42 isoforms in the hippocampus of 5XFAD mouse. Driving PV-positive neurons at other frequencies, or driving excitatory neurons, did not reduce Aß levels.  Furthermore, driving PV-positive neurons reduced enlarged endosomes in hippocampal neurons and cleavage intermediates of APP in 5XFAD mouse. Gene expression profiling revealed a neuroprotective response with morphological transformation of microglia and markedly increased phagocytosis of Aß by microglia. Inspired by these observations, we designed a non-invasive light-flickering paradigm that drives 40Hz gamma activity in mouse visual cortex. The light-flickering paradigm profoundly reduced Aß40 and Aß42 levels in the visual cortex of pre-symptomatic mice and greatly mitigated plaque load in the visual cortex of aged, symptomatic mice. This reduction was completely blocked by a GABA-A antagonist, providing further support for an essential role of GABAergic signaling in mediating neuroprotective gamma activity. Overall, our findings uncover a dramatic and previously unappreciated function of the brain’s endogenous gamma rhythms in reducing the production and increasing the clearance of Aß  peptides, whose accumulation is believed to drive the pathogenesis of AD.","Two to four weeks following virus injection and implant placement, hippocampal CA1 neurons were optigenetically manipulated. During the experiment, 1mW of optical stimulation was delivered for 1h using a 40Hz stimulation protocol.",GPL13112,6,Expression profiling by high throughput sequencing,NA
Alzheimers Disease,GSE79376,Genome-wide expression profiling of USP9X/Y knockdown in the DU145 cell culture model,"Public transcriptomics studies have shown that several genes display pronounced gender differences in their expression in the human brain, and these differences may influence the clinical manifestations and risk for neuronal disorders. While disease relevant implications have already been proposed for gender differences in hormone levels, life style and genetic diversity, a systems level analysis of brain gene expression disparities between the genders in the context of brain disorders like Alzheimer’s disease (AD) has not yet been conducted.;Here we apply a transcriptome-wide analysis to discover genes with gender-specific expression and significant alterations in public post mortem brain tissue from AD patients compared to unaffected controls. We identify the sex-linked ubiquitin specific peptidase 9 (USP9) as an outstanding candidate gene with one of the largest ratios of male to female median expression levels during adulthood and a highly significant underexpression of the Y-chromosomal form of the gene (USP9Y) in male AD patients compared to controls. Previous studies have shown that USP9 can modulate the phosphorylation of the microtubule-associated protein tau (MAPT), whose dysregulation in AD is thought to play a key role in disease. Here, after observing a high positive correlation between USP9Y and MAPT expression in public transcriptomics data from AD case/control studies, we show that USP9 knockdown results in significantly decreased MAPT expression in the in vitro DU145 cell culture model. From the analysis of transcriptomics data for the knockdown in DU145 cells and prior knowledge from the literature, we derive a model for a USP9-dependent regulatory mechanism modulating MAPT expression via BACH1 and SMAD4. Overall, the combined transcriptomics analyses and identified functional links between USP9 and MAPT suggest USP9 may partially account for gender differences observed in tauopathies and could provide a new target for intervention strategies to modulate MAPT expression and phosphorylation.","To assess the biomolecular effects of knocking down USP9 on a transcriptome-wide scale, the human DU145 prostate cancer cell culture model was chosen, after confirming that both USP9X and USP9Y are robustly expressed in this model. ShRNA constructs were then designed for the knockdown of USP9X and USP9X/Y (i.e. targeting USP9X and USP9Y jointly) to infer potential USP9Y-specific gene alterations indirectly by comparing both knockdowns. As readout, microarray expression profiling using the Affymetrix Human Gene 2.0 platform was performed with triplicate samples for each of five considered conditions (USP9X/Y knockdown, USP9X knockdown, scrambled RNA control, transfection reagent control, and unperturbed control).",GPL19251,15,Expression profiling by array,NA
Alzheimers Disease,GSE80245,Expression data from the neuron model of Alzheimer's disease (AD) with or without treatment of recombinant human mitochondrial transcriptional factor A (rhTFAM) protein,"To delineate the mechanism by which hTFAM suppresses AD pathology in the neuron model of AD, we first performed microarray analyses using using RNAs prepared from PS1P117L and wild-type neurons. Next, we performed microarray analyses using PS1P117L neurons with or without recombinant hTFAM protein treatment.;One-way ANOVA was performed with the transcript clusters altered in PS1P117L cells with rhTFAM treatment compared with those without the treatment. Comparative analyses of PS1P117L cells with or without rhTFAM treatment showed that the expression of genes involved in protein synthesis, gene expression, and cancer were significantly altered. From these microarray analyses, we found that the expression levels of the genes associated with neuritogenesis were decreased in PS1P117L neurons compared with those in the wild type, and that hTFAM significantly increased these gene expression.","Cholinergic neurons derived from human iPSCs established from normal subjects, in which a mutant (PS1P117L) copy of the PSEN1 gene was introduced were used in this study, (n=3 for each group). PS1P117L neurons with or without recombinant hTFAM protein treatment. RNA samples prepared from the cells were subjected to microarray analysis using the Affymetrix human Gene 1.0 ST platform (GPL6244).",GPL6244,6,Expression profiling by array,NA
Alzheimers Disease,GSE80244,Expression data from the neuron model of Alzheimer's disease (AD),"To delineate the mechanism by which human mitochondrial transcriptional factor A (hTFAM) suppresses AD pathology in the neuron model of AD, we first performed microarray analyses using using RNAs prepared from PS1P117L and wild-type neurons. Next, we performed microarray analyses using PS1P117L neurons with or without recombinant hTFAM protein treatment.;One-way ANOVA was performed with the transcript clusters altered in PS1P117L cells compared with wild-type cells. Comparative analyses of PS1P117L cells and wild-type cells showed that the expression of genes involved in cellular assembly and organization, cellular function and maintenance, and tissue development were significantly altered.","Cholinergic neurons derived from human iPSCs established from normal subjects, in which a wild-type or mutant (PS1P117L) copy of the PSEN1 gene was introduced were used in this study, (n=3 for each group). RNA samples prepared from the cells were subjected to microarray analysis using the Affymetrix human Gene 1.0 ST platform (GPL6244).",GPL6244,6,Expression profiling by array,NA
Alzheimers Disease,GSE80242,Expression data from Alzheimer's disease (AD) model mouse and AD model mouse overexpressing human mitochondrial transcriptional factor A (hTFAM),"To delineate the mechanism underlying the amelioration of AD pathophysiology by hTFAM, we performed gene expression profiling using hippocampal RNAs from the AD model mouse and AD model mouse overexpressing human TFAM.;One-way ANOVA of microarray data from hippocampus revealed that the gene expression profile is most significantly altered in the hippocampi of ADh/hTFAMh mice. Comparative analyses of the brains of ADh/WT and ADh/hTFAMh mice showed that the expression of genes involved in cancer, endocrine system disorders, and organismal injury and abnormalities were significantly altered. Among the genes whose expression was significantly altered by hTFAM expression, transthyretin, encoded by the Ttr gene, binds Aß and inhibits its aggregation.","Hemizygous 3xTg-AD mice harboring hemizygous APPSwe and tauP301L transgenes with a hemizygous Psen1M146V mutation (ADh/WT), and hemizygous 3xTg-AD mice with the hemizygous hTFAM transgene (ADh/hTFAMh) were used in this study, (male, n=3 for each group). RNA samples prepared from hippocampi were subjected to microarray analysis using the Affymetrix Mouse Gene 1.0 ST platform (GPL6246).",GPL6246,6,Expression profiling by array,NA
Alzheimers Disease,GSE72778,DNA methylation data from brain samples of human subjects with Huntington's disease,"Human DNA methylation Beadchip v1.2 was used to profile n=475 samples from various brain regions of subjects with Huntington's disease and control samples.;The main goal of the study was to relate Huntington's disease status to measures of epigenetic age acceleration based on DNA methylation data. To measure DNA methylation age, we used the epigenetic clock software described in Horvath S (n=2013) DNA methylation age of human tissues and cell types. Genome Biology.2013, 14:R115. DOI: 10.1186/10.1186/gb-2013-14-10-r115 PMID: 24138928.","We analyzed n=475 samples (215 Huntington's disease, 125 Alzheimer's disease, and 135 control samples). The samples represent various brain regions (frontal lobe, parietal lobe, occipital lobe, caudate nucleus, cingulate gyrus, cerebellum, hippocampus, etc) from 65 human subjects.",GPL13534,475,Methylation profiling by genome tiling array,27479945
Alzheimers Disease,GSE74438,Transcriptomic analysis of the effect of ASO-mediated (50ug/day) CD33 knock-down on the microglial gene network in an APP/PS1 mouse model of Alzheimer’s disease. [LNA-012],"Microglia, the resident innate immune cells of the central nervous system (CNS), are increasingly recognized  as critical for normal CNS function as well as for the pathophysiology of CNS disorders, including Alzheimer's disease (AD).  Advances in transcriptomic analyses, such as weighted gene co-expression network analysis, reveal that the most perturbed gene networks identified in AD brains fall squarely within microglial pathways and these findings are consistent with genetic and epigenetic genome-wide association studies linking specific microglial genes to AD risk.  Increased expression of full-length CD33 increases AD risk and CD33 is a component of the microglial gene network, yet relatively little is known about the significance of CD33 in this gene network or in microglial biology.  To gain further insight into these questions, we first identified and characterized locked nucleic acid (LNA) antisense oligonucleotides (ASOs) as tools to knock down CD33 in APP/PS1 mice in vivo.  We report here that CD33 LNA ASO results in robust knockdown of CD33 mRNA the frontal cortex and hippocampus of APP/PS1 mice and that this knockdown causes changes to the AD-associated microglial gene network. This work suggests that CD33 may be a viable therapeutic target in AD.","The double transgenic APP/PS1 mouse model of AD (first described by Mathias Jucker's group) was treated either with a CD33-specific ASO (N=14), a non-target Control ASO (N=13), or PBS vehicle (N=9). Wild-type littermates were also treated with PBS vehicle (N=12). Animals were dosed with 50ug/day of ASO (pump delivers 6uL/day) for 14 days starting at 18 weeks of age and were sacrificed as described at 22 weeks of age. Number of microarray samples for analysis were as follows. Frontal cortex: APP/PS1-CD33 ASO, 11; APP/PS1-CON ASO, 13; APP/PS1-PBS, 9; WT-PBS, 12. Hippocampus: APP/PS1-CD33 ASO,12; APP/PS1-CON ASO, 13; APP/PS1-PBS, 9; WT-PBS,12.",GPL6885,91,Expression profiling by array,NA
Alzheimers Disease,GSE74437,Transcriptomic analysis of the effect of ASO-mediated CD33 knock-down on the microglial gene network in an APP/PS1 mouse model of Alzheimer’s disease. [LNA-006],"Microglia, the resident innate immune cells of the central nervous system (CNS), are increasingly recognized  as critical for normal CNS function as well as for the pathophysiology of CNS disorders, including Alzheimer's disease (AD).  Advances in transcriptomic analyses, such as weighted gene co-expression network analysis, reveal that the most perturbed gene networks identified in AD brains fall squarely within microglial pathways and these findings are consistent with genetic and epigenetic genome-wide association studies linking specific microglial genes to AD risk.  Increased expression of full-length CD33 increases AD risk and CD33 is a component of the microglial gene network, yet relatively little is known about the significance of CD33 in this gene network or in microglial biology.  To gain further insight into these questions, we first identified and characterized locked nucleic acid (LNA) antisense oligonucleotides (ASOs) as tools to knock down CD33 in APP/PS1 mice in vivo.  We report here that CD33 LNA ASO results in robust knockdown of CD33 mRNA the frontal cortex and hippocampus of APP/PS1 mice and that this knockdown causes changes to the AD-associated microglial gene network. This work suggests that CD33 may be a viable therapeutic target in AD.","The double transgenic APP/PS1 mouse model of AD (first described by Mathias Jucker’s group) was treated either with a CD33-specific ASO  (N=10), a non-target Control ASO (N=10), or PBS vehicle (N=10). Wild-type littermates were also treated with PBS vehicle (N=10). Animals were dosed with 75ug/day of ASO (pump delivered 6uL/day) for 14 days starting at 18 weeks of age and were sacrificed at ~20.5 weeks of age (~ 17 days after start of 14 day ASO infusion). N for microarray analysis is as follows: For Hippocampus, APP/PS1_ CD33 ASO, n=9; APP/PS1_CON ASO, n=11; APP/PS1_PBS, n=8; WT_PBS, n=11; and for frontal cortex, APP/PS1_ CD33 ASO, n=10; APP/PS1_CON ASO, n=11; APP/PS1_PBS, n=8; WT_PBS, n=11.",GPL6885,79,Expression profiling by array,NA
Alzheimers Disease,GSE74441,Transcriptomic analysis of the effect of ASO-mediated CD33 knock-down on the microglial gene network in an APP/PS1 mouse model of Alzheimer's disease.,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,GPL6885,260,Expression profiling by array,NA
Alzheimers Disease,GSE74440,Transcriptomic analysis of the effect of ASO-mediated (40ug/day) CD33 knock-down on the microglial gene network in an APP/PS1 mouse model of Alzheimer’s disease. [LNA-013],"Microglia, the resident innate immune cells of the central nervous system (CNS), are increasingly recognized  as critical for normal CNS function as well as for the pathophysiology of CNS disorders, including Alzheimer's disease (AD).  Advances in transcriptomic analyses, such as weighted gene co-expression network analysis, reveal that the most perturbed gene networks identified in AD brains fall squarely within microglial pathways and these findings are consistent with genetic and epigenetic genome-wide association studies linking specific microglial genes to AD risk.  Increased expression of full-length CD33 increases AD risk and CD33 is a component of the microglial gene network, yet relatively little is known about the significance of CD33 in this gene network or in microglial biology.  To gain further insight into these questions, we first identified and characterized locked nucleic acid (LNA) antisense oligonucleotides (ASOs) as tools to knock down CD33 in APP/PS1 mice in vivo.  We report here that CD33 LNA ASO results in robust knockdown of CD33 mRNA the frontal cortex and hippocampus of APP/PS1 mice and that this knockdown causes changes to the AD-associated microglial gene network. This work suggests that CD33 may be a viable therapeutic target in AD.","The double transgenic APP/PS1 mouse model of AD (first described by Mathias Jucker’s group) was treated either with a CD33-specific ASO or a non-target Control ASO. Animals were dosed with 40ug/day of ASO (pump delivers 6uL/day) for either 14 days (CD33-specific ASO (N=10) (from week 18-20) ; non-target Control ASO (N=9)) or 28 days (from week 18 -22) (CD33-specific ASO (N=14) ; non-target Control ASO (N=14)) starting at 18 weeks of age and were sacrificed as described at 22 weeks of age. Number of samples for microarray profiling were as follows. In the hippocampus: 14 day CD33 ASO, 9; 14 day CON ASO, 9; 28day CD33 ASO, 13; 28 day CON ASO, 13. In the frontal cortex: 14 day CD33 ASO, 9, 14 day CON ASO, 9; 28 day CD33 ASO, 14, 28 day CON ASO, 14.",GPL6885,90,Expression profiling by array,NA
